recall,precision
0.7878217200251099,0.5585224744103249
0.7865662272441933,0.5618834080717489
0.783427495291902,0.5654734934299954
0.7815442561205274,0.5682336832496577
0.7815442561205274,0.572940635066728
0.7790332705586943,0.5729455216989843
0.7777777777777778,0.5741427247451344
0.7777777777777778,0.5757434944237918
0.7771500313873195,0.5787751285647499
0.77338355304457,0.5836096636665088
0.7721280602636534,0.5862726406101049
0.7721280602636534,0.5893627216099665
0.7702448210922788,0.5907558979297063
0.7696170747018205,0.5942801745031507
0.768361581920904,0.5970731707317073
0.7671060891399875,0.6004914004914005
0.7627118644067796,0.6020812685827552
0.7608286252354048,0.603585657370518
0.7583176396735719,0.6079516859587317
0.7576898932831136,0.6108299595141701
0.7570621468926554,0.6131164209456025
0.7570621468926554,0.6168797953964195
0.7551789077212806,0.6175564681724846
